,Title,Genre,Director,Actors,Query
1667,hot fuzz,mystery,edgar wright, bill nighy,mystery edgar wright  bill nighy
1668,mine,thriller,fabio guaglione,armie hammer,thriller fabio guaglione armie hammer
1669,mine,thriller,fabio guaglione, annabelle wallis,thriller fabio guaglione  annabelle wallis
1670,mine,thriller,fabio guaglione,tom cullen,thriller fabio guaglione tom cullen
1671,mine,thriller,fabio guaglione, clint dyer,thriller fabio guaglione  clint dyer
1672,mine,war,fabio guaglione,armie hammer,war fabio guaglione armie hammer
1673,mine,war,fabio guaglione, annabelle wallis,war fabio guaglione  annabelle wallis
1674,mine,war,fabio guaglione,tom cullen,war fabio guaglione tom cullen
1675,mine,war,fabio guaglione, clint dyer,war fabio guaglione  clint dyer
1676,free fire,action,ben wheatley,sharlto copley,action ben wheatley sharlto copley
1677,free fire,action,ben wheatley, brie larson,action ben wheatley  brie larson
1678,free fire,action,ben wheatley, armie hammer,action ben wheatley  armie hammer
1679,free fire,action,ben wheatley, cillian murphy,action ben wheatley  cillian murphy
1680,free fire,comedy,ben wheatley,sharlto copley,comedy ben wheatley sharlto copley
1681,free fire,comedy,ben wheatley, brie larson,comedy ben wheatley  brie larson
1682,free fire,comedy,ben wheatley, armie hammer,comedy ben wheatley  armie hammer
1683,free fire,comedy,ben wheatley, cillian murphy,comedy ben wheatley  cillian murphy
1684,free fire,crime,ben wheatley,sharlto copley,crime ben wheatley sharlto copley
1685,free fire,crime,ben wheatley, brie larson,crime ben wheatley  brie larson
1686,free fire,crime,ben wheatley, armie hammer,crime ben wheatley  armie hammer
1687,free fire,crime,ben wheatley, cillian murphy,crime ben wheatley  cillian murphy
1688,x-men: days of future past,action,bryan singer,patrick stewart,action bryan singer patrick stewart
1689,x-men: days of future past,action,bryan singer, ian mckellen,action bryan singer  ian mckellen
1690,x-men: days of future past,action,bryan singer, hugh jackman,action bryan singer  hugh jackman
1691,x-men: days of future past,action,bryan singer, james mcavoy,action bryan singer  james mcavoy
1692,x-men: days of future past,adventure,bryan singer,patrick stewart,adventure bryan singer patrick stewart
1693,x-men: days of future past,adventure,bryan singer, ian mckellen,adventure bryan singer  ian mckellen
1694,x-men: days of future past,adventure,bryan singer, hugh jackman,adventure bryan singer  hugh jackman
1695,x-men: days of future past,adventure,bryan singer, james mcavoy,adventure bryan singer  james mcavoy
1696,x-men: days of future past,sci-fi,bryan singer,patrick stewart,sci-fi bryan singer patrick stewart
1697,x-men: days of future past,sci-fi,bryan singer, ian mckellen,sci-fi bryan singer  ian mckellen
1698,x-men: days of future past,sci-fi,bryan singer, hugh jackman,sci-fi bryan singer  hugh jackman
1699,x-men: days of future past,sci-fi,bryan singer, james mcavoy,sci-fi bryan singer  james mcavoy
1700,jack reacher: never go back,action,edward zwick,tom cruise,action edward zwick tom cruise
1701,jack reacher: never go back,action,edward zwick, cobie smulders,action edward zwick  cobie smulders
1702,jack reacher: never go back,action,edward zwick, aldis hodge,action edward zwick  aldis hodge
1703,jack reacher: never go back,action,edward zwick, robert knepper,action edward zwick  robert knepper
1704,jack reacher: never go back,adventure,edward zwick,tom cruise,adventure edward zwick tom cruise
1705,jack reacher: never go back,adventure,edward zwick, cobie smulders,adventure edward zwick  cobie smulders
1706,jack reacher: never go back,adventure,edward zwick, aldis hodge,adventure edward zwick  aldis hodge
1707,jack reacher: never go back,adventure,edward zwick, robert knepper,adventure edward zwick  robert knepper
1708,jack reacher: never go back,crime,edward zwick,tom cruise,crime edward zwick tom cruise
1709,jack reacher: never go back,crime,edward zwick, cobie smulders,crime edward zwick  cobie smulders
1710,jack reacher: never go back,crime,edward zwick, aldis hodge,crime edward zwick  aldis hodge
1711,jack reacher: never go back,crime,edward zwick, robert knepper,crime edward zwick  robert knepper
1712,casino royale,action,martin campbell,daniel craig,action martin campbell daniel craig
1713,casino royale,action,martin campbell, eva green,action martin campbell  eva green
1714,casino royale,action,martin campbell, judi dench,action martin campbell  judi dench
1715,casino royale,action,martin campbell, jeffrey wright,action martin campbell  jeffrey wright
1716,casino royale,adventure,martin campbell,daniel craig,adventure martin campbell daniel craig
1717,casino royale,adventure,martin campbell, eva green,adventure martin campbell  eva green
1718,casino royale,adventure,martin campbell, judi dench,adventure martin campbell  judi dench
1719,casino royale,adventure,martin campbell, jeffrey wright,adventure martin campbell  jeffrey wright
1720,casino royale,thriller,martin campbell,daniel craig,thriller martin campbell daniel craig
1721,casino royale,thriller,martin campbell, eva green,thriller martin campbell  eva green
1722,casino royale,thriller,martin campbell, judi dench,thriller martin campbell  judi dench
1723,casino royale,thriller,martin campbell, jeffrey wright,thriller martin campbell  jeffrey wright
1724,twilight,drama,catherine hardwicke,kristen stewart,drama catherine hardwicke kristen stewart
1725,twilight,drama,catherine hardwicke, robert pattinson,drama catherine hardwicke  robert pattinson
1726,twilight,drama,catherine hardwicke, billy burke,drama catherine hardwicke  billy burke
1727,twilight,drama,catherine hardwicke,sarah clarke,drama catherine hardwicke sarah clarke
1728,twilight,fantasy,catherine hardwicke,kristen stewart,fantasy catherine hardwicke kristen stewart
1729,twilight,fantasy,catherine hardwicke, robert pattinson,fantasy catherine hardwicke  robert pattinson
1730,twilight,fantasy,catherine hardwicke, billy burke,fantasy catherine hardwicke  billy burke
1731,twilight,fantasy,catherine hardwicke,sarah clarke,fantasy catherine hardwicke sarah clarke
1732,twilight,romance,catherine hardwicke,kristen stewart,romance catherine hardwicke kristen stewart
1733,twilight,romance,catherine hardwicke, robert pattinson,romance catherine hardwicke  robert pattinson
1734,twilight,romance,catherine hardwicke, billy burke,romance catherine hardwicke  billy burke
1735,twilight,romance,catherine hardwicke,sarah clarke,romance catherine hardwicke sarah clarke
1736,now you see me 2,action,jon m. chu,jesse eisenberg,action jon m. chu jesse eisenberg
1737,now you see me 2,action,jon m. chu, mark ruffalo,action jon m. chu  mark ruffalo
1738,now you see me 2,action,jon m. chu, woody harrelson,action jon m. chu  woody harrelson
1739,now you see me 2,action,jon m. chu, dave franco,action jon m. chu  dave franco
1740,now you see me 2,adventure,jon m. chu,jesse eisenberg,adventure jon m. chu jesse eisenberg
1741,now you see me 2,adventure,jon m. chu, mark ruffalo,adventure jon m. chu  mark ruffalo
1742,now you see me 2,adventure,jon m. chu, woody harrelson,adventure jon m. chu  woody harrelson
1743,now you see me 2,adventure,jon m. chu, dave franco,adventure jon m. chu  dave franco
1744,now you see me 2,comedy,jon m. chu,jesse eisenberg,comedy jon m. chu jesse eisenberg
1745,now you see me 2,comedy,jon m. chu, mark ruffalo,comedy jon m. chu  mark ruffalo
1746,now you see me 2,comedy,jon m. chu, woody harrelson,comedy jon m. chu  woody harrelson
1747,now you see me 2,comedy,jon m. chu, dave franco,comedy jon m. chu  dave franco
1748,woman in gold,biography,simon curtis,helen mirren,biography simon curtis helen mirren
1749,woman in gold,biography,simon curtis, ryan reynolds,biography simon curtis  ryan reynolds
1750,woman in gold,biography,simon curtis, daniel brühl,biography simon curtis  daniel brühl
1751,woman in gold,biography,simon curtis, katie holmes,biography simon curtis  katie holmes
1752,woman in gold,drama,simon curtis,helen mirren,drama simon curtis helen mirren
1753,woman in gold,drama,simon curtis, ryan reynolds,drama simon curtis  ryan reynolds
1754,woman in gold,drama,simon curtis, daniel brühl,drama simon curtis  daniel brühl
1755,woman in gold,drama,simon curtis, katie holmes,drama simon curtis  katie holmes
1756,woman in gold,history,simon curtis,helen mirren,history simon curtis helen mirren
1757,woman in gold,history,simon curtis, ryan reynolds,history simon curtis  ryan reynolds
1758,woman in gold,history,simon curtis, daniel brühl,history simon curtis  daniel brühl
1759,woman in gold,history,simon curtis, katie holmes,history simon curtis  katie holmes
1760,13 hours,action,michael bay,john krasinski,action michael bay john krasinski
1761,13 hours,action,michael bay, pablo schreiber,action michael bay  pablo schreiber
1762,13 hours,action,michael bay, james badge dale,action michael bay  james badge dale
1763,13 hours,action,michael bay,david denman,action michael bay david denman
1764,13 hours,drama,michael bay,john krasinski,drama michael bay john krasinski
1765,13 hours,drama,michael bay, pablo schreiber,drama michael bay  pablo schreiber
1766,13 hours,drama,michael bay, james badge dale,drama michael bay  james badge dale
1767,13 hours,drama,michael bay,david denman,drama michael bay david denman
1768,13 hours,history,michael bay,john krasinski,history michael bay john krasinski
1769,13 hours,history,michael bay, pablo schreiber,history michael bay  pablo schreiber
1770,13 hours,history,michael bay, james badge dale,history michael bay  james badge dale
1771,13 hours,history,michael bay,david denman,history michael bay david denman
1772,spectre,action,sam mendes,daniel craig,action sam mendes daniel craig
1773,spectre,action,sam mendes, christoph waltz,action sam mendes  christoph waltz
1774,spectre,action,sam mendes, léa seydoux,action sam mendes  léa seydoux
1775,spectre,action,sam mendes, ralph fiennes,action sam mendes  ralph fiennes
1776,spectre,adventure,sam mendes,daniel craig,adventure sam mendes daniel craig
1777,spectre,adventure,sam mendes, christoph waltz,adventure sam mendes  christoph waltz
1778,spectre,adventure,sam mendes, léa seydoux,adventure sam mendes  léa seydoux
1779,spectre,adventure,sam mendes, ralph fiennes,adventure sam mendes  ralph fiennes
1780,spectre,thriller,sam mendes,daniel craig,thriller sam mendes daniel craig
1781,spectre,thriller,sam mendes, christoph waltz,thriller sam mendes  christoph waltz
1782,spectre,thriller,sam mendes, léa seydoux,thriller sam mendes  léa seydoux
1783,spectre,thriller,sam mendes, ralph fiennes,thriller sam mendes  ralph fiennes
1784,nightcrawler,crime,dan gilroy,jake gyllenhaal,crime dan gilroy jake gyllenhaal
1785,nightcrawler,crime,dan gilroy, rene russo,crime dan gilroy  rene russo
1786,nightcrawler,crime,dan gilroy, bill paxton,crime dan gilroy  bill paxton
1787,nightcrawler,crime,dan gilroy, riz ahmed,crime dan gilroy  riz ahmed
1788,nightcrawler,drama,dan gilroy,jake gyllenhaal,drama dan gilroy jake gyllenhaal
1789,nightcrawler,drama,dan gilroy, rene russo,drama dan gilroy  rene russo
1790,nightcrawler,drama,dan gilroy, bill paxton,drama dan gilroy  bill paxton
1791,nightcrawler,drama,dan gilroy, riz ahmed,drama dan gilroy  riz ahmed
1792,nightcrawler,thriller,dan gilroy,jake gyllenhaal,thriller dan gilroy jake gyllenhaal
1793,nightcrawler,thriller,dan gilroy, rene russo,thriller dan gilroy  rene russo
1794,nightcrawler,thriller,dan gilroy, bill paxton,thriller dan gilroy  bill paxton
1795,nightcrawler,thriller,dan gilroy, riz ahmed,thriller dan gilroy  riz ahmed
1796,kubo and the two strings,animation,travis knight,charlize theron,animation travis knight charlize theron
1797,kubo and the two strings,animation,travis knight, art parkinson,animation travis knight  art parkinson
1798,kubo and the two strings,animation,travis knight, matthew mcconaughey,animation travis knight  matthew mcconaughey
1799,kubo and the two strings,animation,travis knight, ralph fiennes,animation travis knight  ralph fiennes
1800,kubo and the two strings,adventure,travis knight,charlize theron,adventure travis knight charlize theron
1801,kubo and the two strings,adventure,travis knight, art parkinson,adventure travis knight  art parkinson
1802,kubo and the two strings,adventure,travis knight, matthew mcconaughey,adventure travis knight  matthew mcconaughey
1803,kubo and the two strings,adventure,travis knight, ralph fiennes,adventure travis knight  ralph fiennes
1804,kubo and the two strings,family,travis knight,charlize theron,family travis knight charlize theron
1805,kubo and the two strings,family,travis knight, art parkinson,family travis knight  art parkinson
1806,kubo and the two strings,family,travis knight, matthew mcconaughey,family travis knight  matthew mcconaughey
1807,kubo and the two strings,family,travis knight, ralph fiennes,family travis knight  ralph fiennes
1808,beyond the gates,adventure,jackson stewart,graham skipper,adventure jackson stewart graham skipper
1809,beyond the gates,adventure,jackson stewart, chase williamson,adventure jackson stewart  chase williamson
1810,beyond the gates,adventure,jackson stewart, brea grant,adventure jackson stewart  brea grant
1811,beyond the gates,adventure,jackson stewart,barbara crampton,adventure jackson stewart barbara crampton
1812,beyond the gates,horror,jackson stewart,graham skipper,horror jackson stewart graham skipper
1813,beyond the gates,horror,jackson stewart, chase williamson,horror jackson stewart  chase williamson
1814,beyond the gates,horror,jackson stewart, brea grant,horror jackson stewart  brea grant
1815,beyond the gates,horror,jackson stewart,barbara crampton,horror jackson stewart barbara crampton
1816,her,drama,spike jonze,joaquin phoenix,drama spike jonze joaquin phoenix
1817,her,drama,spike jonze, amy adams,drama spike jonze  amy adams
1818,her,drama,spike jonze, scarlett johansson,drama spike jonze  scarlett johansson
1819,her,drama,spike jonze,rooney mara,drama spike jonze rooney mara
1820,her,romance,spike jonze,joaquin phoenix,romance spike jonze joaquin phoenix
1821,her,romance,spike jonze, amy adams,romance spike jonze  amy adams
1822,her,romance,spike jonze, scarlett johansson,romance spike jonze  scarlett johansson
1823,her,romance,spike jonze,rooney mara,romance spike jonze rooney mara
1824,her,sci-fi,spike jonze,joaquin phoenix,sci-fi spike jonze joaquin phoenix
1825,her,sci-fi,spike jonze, amy adams,sci-fi spike jonze  amy adams
1826,her,sci-fi,spike jonze, scarlett johansson,sci-fi spike jonze  scarlett johansson
1827,her,sci-fi,spike jonze,rooney mara,sci-fi spike jonze rooney mara
1828,frozen,animation,chris buck,kristen bell,animation chris buck kristen bell
1829,frozen,animation,chris buck, idina menzel,animation chris buck  idina menzel
1830,frozen,animation,chris buck, jonathan groff,animation chris buck  jonathan groff
1831,frozen,animation,chris buck, josh gad,animation chris buck  josh gad
1832,frozen,adventure,chris buck,kristen bell,adventure chris buck kristen bell
1833,frozen,adventure,chris buck, idina menzel,adventure chris buck  idina menzel
1834,frozen,adventure,chris buck, jonathan groff,adventure chris buck  jonathan groff
1835,frozen,adventure,chris buck, josh gad,adventure chris buck  josh gad
1836,frozen,comedy,chris buck,kristen bell,comedy chris buck kristen bell
1837,frozen,comedy,chris buck, idina menzel,comedy chris buck  idina menzel
1838,frozen,comedy,chris buck, jonathan groff,comedy chris buck  jonathan groff
1839,frozen,comedy,chris buck, josh gad,comedy chris buck  josh gad
1840,tomorrowland,action,brad bird,george clooney,action brad bird george clooney
1841,tomorrowland,action,brad bird, britt robertson,action brad bird  britt robertson
1842,tomorrowland,action,brad bird, hugh laurie,action brad bird  hugh laurie
1843,tomorrowland,action,brad bird, raffey cassidy,action brad bird  raffey cassidy
1844,tomorrowland,adventure,brad bird,george clooney,adventure brad bird george clooney
1845,tomorrowland,adventure,brad bird, britt robertson,adventure brad bird  britt robertson
1846,tomorrowland,adventure,brad bird, hugh laurie,adventure brad bird  hugh laurie
1847,tomorrowland,adventure,brad bird, raffey cassidy,adventure brad bird  raffey cassidy
1848,tomorrowland,family,brad bird,george clooney,family brad bird george clooney
1849,tomorrowland,family,brad bird, britt robertson,family brad bird  britt robertson
1850,tomorrowland,family,brad bird, hugh laurie,family brad bird  hugh laurie
1851,tomorrowland,family,brad bird, raffey cassidy,family brad bird  raffey cassidy
1852,dawn of the planet of the apes,action,matt reeves,gary oldman,action matt reeves gary oldman
1853,dawn of the planet of the apes,action,matt reeves, keri russell,action matt reeves  keri russell
1854,dawn of the planet of the apes,action,matt reeves, andy serkis,action matt reeves  andy serkis
1855,dawn of the planet of the apes,action,matt reeves, kodi smit-mcphee,action matt reeves  kodi smit-mcphee
1856,dawn of the planet of the apes,adventure,matt reeves,gary oldman,adventure matt reeves gary oldman
1857,dawn of the planet of the apes,adventure,matt reeves, keri russell,adventure matt reeves  keri russell
1858,dawn of the planet of the apes,adventure,matt reeves, andy serkis,adventure matt reeves  andy serkis
1859,dawn of the planet of the apes,adventure,matt reeves, kodi smit-mcphee,adventure matt reeves  kodi smit-mcphee
1860,dawn of the planet of the apes,drama,matt reeves,gary oldman,drama matt reeves gary oldman
1861,dawn of the planet of the apes,drama,matt reeves, keri russell,drama matt reeves  keri russell
1862,dawn of the planet of the apes,drama,matt reeves, andy serkis,drama matt reeves  andy serkis
1863,dawn of the planet of the apes,drama,matt reeves, kodi smit-mcphee,drama matt reeves  kodi smit-mcphee
1864,tropic thunder,action,ben stiller,ben stiller,action ben stiller ben stiller
1865,tropic thunder,action,ben stiller, jack black,action ben stiller  jack black
1866,tropic thunder,action,ben stiller, robert downey jr.,action ben stiller  robert downey jr.
1867,tropic thunder,action,ben stiller, jeff kahn,action ben stiller  jeff kahn
1868,tropic thunder,comedy,ben stiller,ben stiller,comedy ben stiller ben stiller
1869,tropic thunder,comedy,ben stiller, jack black,comedy ben stiller  jack black
1870,tropic thunder,comedy,ben stiller, robert downey jr.,comedy ben stiller  robert downey jr.
1871,tropic thunder,comedy,ben stiller, jeff kahn,comedy ben stiller  jeff kahn
1872,the conjuring 2,horror,james wan,vera farmiga,horror james wan vera farmiga
1873,the conjuring 2,horror,james wan, patrick wilson,horror james wan  patrick wilson
1874,the conjuring 2,horror,james wan, madison wolfe,horror james wan  madison wolfe
1875,the conjuring 2,horror,james wan, frances o'connor,horror james wan  frances o'connor
1876,the conjuring 2,mystery,james wan,vera farmiga,mystery james wan vera farmiga
1877,the conjuring 2,mystery,james wan, patrick wilson,mystery james wan  patrick wilson
1878,the conjuring 2,mystery,james wan, madison wolfe,mystery james wan  madison wolfe
1879,the conjuring 2,mystery,james wan, frances o'connor,mystery james wan  frances o'connor
1880,the conjuring 2,thriller,james wan,vera farmiga,thriller james wan vera farmiga
1881,the conjuring 2,thriller,james wan, patrick wilson,thriller james wan  patrick wilson
1882,the conjuring 2,thriller,james wan, madison wolfe,thriller james wan  madison wolfe
1883,the conjuring 2,thriller,james wan, frances o'connor,thriller james wan  frances o'connor
1884,ant-man,action,peyton reed,paul rudd,action peyton reed paul rudd
1885,ant-man,action,peyton reed, michael douglas,action peyton reed  michael douglas
1886,ant-man,action,peyton reed, corey stoll,action peyton reed  corey stoll
1887,ant-man,action,peyton reed, evangeline lilly,action peyton reed  evangeline lilly
1888,ant-man,adventure,peyton reed,paul rudd,adventure peyton reed paul rudd
1889,ant-man,adventure,peyton reed, michael douglas,adventure peyton reed  michael douglas
1890,ant-man,adventure,peyton reed, corey stoll,adventure peyton reed  corey stoll
1891,ant-man,adventure,peyton reed, evangeline lilly,adventure peyton reed  evangeline lilly
1892,ant-man,comedy,peyton reed,paul rudd,comedy peyton reed paul rudd
1893,ant-man,comedy,peyton reed, michael douglas,comedy peyton reed  michael douglas
1894,ant-man,comedy,peyton reed, corey stoll,comedy peyton reed  corey stoll
1895,ant-man,comedy,peyton reed, evangeline lilly,comedy peyton reed  evangeline lilly
1896,bridget jones's baby,comedy,sharon maguire,renée zellweger,comedy sharon maguire renée zellweger
1897,bridget jones's baby,comedy,sharon maguire, gemma jones,comedy sharon maguire  gemma jones
1898,bridget jones's baby,comedy,sharon maguire, jim broadbent,comedy sharon maguire  jim broadbent
1899,bridget jones's baby,comedy,sharon maguire,sally phillips,comedy sharon maguire sally phillips
1900,bridget jones's baby,romance,sharon maguire,renée zellweger,romance sharon maguire renée zellweger
1901,bridget jones's baby,romance,sharon maguire, gemma jones,romance sharon maguire  gemma jones
1902,bridget jones's baby,romance,sharon maguire, jim broadbent,romance sharon maguire  jim broadbent
1903,bridget jones's baby,romance,sharon maguire,sally phillips,romance sharon maguire sally phillips
1904,the vvitch: a new-england folktale,horror,robert eggers,anya taylor-joy,horror robert eggers anya taylor-joy
1905,the vvitch: a new-england folktale,horror,robert eggers, ralph ineson,horror robert eggers  ralph ineson
1906,the vvitch: a new-england folktale,horror,robert eggers, kate dickie,horror robert eggers  kate dickie
1907,the vvitch: a new-england folktale,horror,robert eggers, julian richings,horror robert eggers  julian richings
1908,the vvitch: a new-england folktale,mystery,robert eggers,anya taylor-joy,mystery robert eggers anya taylor-joy
1909,the vvitch: a new-england folktale,mystery,robert eggers, ralph ineson,mystery robert eggers  ralph ineson
1910,the vvitch: a new-england folktale,mystery,robert eggers, kate dickie,mystery robert eggers  kate dickie
1911,the vvitch: a new-england folktale,mystery,robert eggers, julian richings,mystery robert eggers  julian richings
1912,cinderella,drama,kenneth branagh,lily james,drama kenneth branagh lily james
1913,cinderella,drama,kenneth branagh, cate blanchett,drama kenneth branagh  cate blanchett
1914,cinderella,drama,kenneth branagh, richard madden,drama kenneth branagh  richard madden
1915,cinderella,drama,kenneth branagh,helena bonham carter,drama kenneth branagh helena bonham carter
1916,cinderella,family,kenneth branagh,lily james,family kenneth branagh lily james
1917,cinderella,family,kenneth branagh, cate blanchett,family kenneth branagh  cate blanchett
1918,cinderella,family,kenneth branagh, richard madden,family kenneth branagh  richard madden
1919,cinderella,family,kenneth branagh,helena bonham carter,family kenneth branagh helena bonham carter
1920,cinderella,fantasy,kenneth branagh,lily james,fantasy kenneth branagh lily james
1921,cinderella,fantasy,kenneth branagh, cate blanchett,fantasy kenneth branagh  cate blanchett
1922,cinderella,fantasy,kenneth branagh, richard madden,fantasy kenneth branagh  richard madden
1923,cinderella,fantasy,kenneth branagh,helena bonham carter,fantasy kenneth branagh helena bonham carter
1924,realive,sci-fi,mateo gil,tom hughes,sci-fi mateo gil tom hughes
1925,realive,sci-fi,mateo gil, charlotte le bon,sci-fi mateo gil  charlotte le bon
1926,realive,sci-fi,mateo gil, oona chaplin,sci-fi mateo gil  oona chaplin
1927,realive,sci-fi,mateo gil, barry ward,sci-fi mateo gil  barry ward
1928,forushande,drama,asghar farhadi,taraneh alidoosti,drama asghar farhadi taraneh alidoosti
1929,forushande,drama,asghar farhadi, shahab hosseini,drama asghar farhadi  shahab hosseini
1930,forushande,drama,asghar farhadi, babak karimi,drama asghar farhadi  babak karimi
1931,forushande,drama,asghar farhadi,farid sajjadi hosseini,drama asghar farhadi farid sajjadi hosseini
1932,forushande,thriller,asghar farhadi,taraneh alidoosti,thriller asghar farhadi taraneh alidoosti
1933,forushande,thriller,asghar farhadi, shahab hosseini,thriller asghar farhadi  shahab hosseini
1934,forushande,thriller,asghar farhadi, babak karimi,thriller asghar farhadi  babak karimi
1935,forushande,thriller,asghar farhadi,farid sajjadi hosseini,thriller asghar farhadi farid sajjadi hosseini
1936,love,drama,gaspar noé,aomi muyock,drama gaspar noé aomi muyock
1937,love,drama,gaspar noé, karl glusman,drama gaspar noé  karl glusman
1938,love,drama,gaspar noé, klara kristin,drama gaspar noé  klara kristin
1939,love,drama,gaspar noé, juan saavedra,drama gaspar noé  juan saavedra
1940,love,romance,gaspar noé,aomi muyock,romance gaspar noé aomi muyock
1941,love,romance,gaspar noé, karl glusman,romance gaspar noé  karl glusman
1942,love,romance,gaspar noé, klara kristin,romance gaspar noé  klara kristin
1943,love,romance,gaspar noé, juan saavedra,romance gaspar noé  juan saavedra
1944,billy lynn's long halftime walk,drama,ang lee,joe alwyn,drama ang lee joe alwyn
1945,billy lynn's long halftime walk,drama,ang lee, garrett hedlund,drama ang lee  garrett hedlund
1946,billy lynn's long halftime walk,drama,ang lee, arturo castro,drama ang lee  arturo castro
1947,billy lynn's long halftime walk,drama,ang lee, mason lee,drama ang lee  mason lee
1948,billy lynn's long halftime walk,war,ang lee,joe alwyn,war ang lee joe alwyn
1949,billy lynn's long halftime walk,war,ang lee, garrett hedlund,war ang lee  garrett hedlund
1950,billy lynn's long halftime walk,war,ang lee, arturo castro,war ang lee  arturo castro
1951,billy lynn's long halftime walk,war,ang lee, mason lee,war ang lee  mason lee
1952,crimson peak,drama,guillermo del toro,mia wasikowska,drama guillermo del toro mia wasikowska
1953,crimson peak,drama,guillermo del toro, jessica chastain,drama guillermo del toro  jessica chastain
1954,crimson peak,drama,guillermo del toro, tom hiddleston,drama guillermo del toro  tom hiddleston
1955,crimson peak,drama,guillermo del toro, charlie hunnam,drama guillermo del toro  charlie hunnam
1956,crimson peak,fantasy,guillermo del toro,mia wasikowska,fantasy guillermo del toro mia wasikowska
1957,crimson peak,fantasy,guillermo del toro, jessica chastain,fantasy guillermo del toro  jessica chastain
1958,crimson peak,fantasy,guillermo del toro, tom hiddleston,fantasy guillermo del toro  tom hiddleston
1959,crimson peak,fantasy,guillermo del toro, charlie hunnam,fantasy guillermo del toro  charlie hunnam
1960,crimson peak,horror,guillermo del toro,mia wasikowska,horror guillermo del toro mia wasikowska
1961,crimson peak,horror,guillermo del toro, jessica chastain,horror guillermo del toro  jessica chastain
1962,crimson peak,horror,guillermo del toro, tom hiddleston,horror guillermo del toro  tom hiddleston
1963,crimson peak,horror,guillermo del toro, charlie hunnam,horror guillermo del toro  charlie hunnam
1964,drive,crime,nicolas winding refn,ryan gosling,crime nicolas winding refn ryan gosling
1965,drive,crime,nicolas winding refn, carey mulligan,crime nicolas winding refn  carey mulligan
1966,drive,crime,nicolas winding refn, bryan cranston,crime nicolas winding refn  bryan cranston
1967,drive,crime,nicolas winding refn, albert brooks,crime nicolas winding refn  albert brooks
1968,drive,drama,nicolas winding refn,ryan gosling,drama nicolas winding refn ryan gosling
1969,drive,drama,nicolas winding refn, carey mulligan,drama nicolas winding refn  carey mulligan
1970,drive,drama,nicolas winding refn, bryan cranston,drama nicolas winding refn  bryan cranston
1971,drive,drama,nicolas winding refn, albert brooks,drama nicolas winding refn  albert brooks
1972,trainwreck,comedy,judd apatow,amy schumer,comedy judd apatow amy schumer
1973,trainwreck,comedy,judd apatow, bill hader,comedy judd apatow  bill hader
1974,trainwreck,comedy,judd apatow, brie larson,comedy judd apatow  brie larson
1975,trainwreck,comedy,judd apatow, colin quinn,comedy judd apatow  colin quinn
1976,trainwreck,drama,judd apatow,amy schumer,drama judd apatow amy schumer
1977,trainwreck,drama,judd apatow, bill hader,drama judd apatow  bill hader
1978,trainwreck,drama,judd apatow, brie larson,drama judd apatow  brie larson
1979,trainwreck,drama,judd apatow, colin quinn,drama judd apatow  colin quinn
1980,trainwreck,romance,judd apatow,amy schumer,romance judd apatow amy schumer
1981,trainwreck,romance,judd apatow, bill hader,romance judd apatow  bill hader
1982,trainwreck,romance,judd apatow, brie larson,romance judd apatow  brie larson
1983,trainwreck,romance,judd apatow, colin quinn,romance judd apatow  colin quinn
1984,the light between oceans,drama,derek cianfrance,michael fassbender,drama derek cianfrance michael fassbender
1985,the light between oceans,drama,derek cianfrance, alicia vikander,drama derek cianfrance  alicia vikander
1986,the light between oceans,drama,derek cianfrance, rachel weisz,drama derek cianfrance  rachel weisz
1987,the light between oceans,drama,derek cianfrance, florence clery,drama derek cianfrance  florence clery
1988,the light between oceans,romance,derek cianfrance,michael fassbender,romance derek cianfrance michael fassbender
1989,the light between oceans,romance,derek cianfrance, alicia vikander,romance derek cianfrance  alicia vikander
1990,the light between oceans,romance,derek cianfrance, rachel weisz,romance derek cianfrance  rachel weisz
1991,the light between oceans,romance,derek cianfrance, florence clery,romance derek cianfrance  florence clery
1992,below her mouth,drama,april mullen,erika linder,drama april mullen erika linder
1993,below her mouth,drama,april mullen, natalie krill,drama april mullen  natalie krill
1994,below her mouth,drama,april mullen, sebastian pigott,drama april mullen  sebastian pigott
1995,below her mouth,drama,april mullen, mayko nguyen,drama april mullen  mayko nguyen
1996,spotlight,crime,tom mccarthy,mark ruffalo,crime tom mccarthy mark ruffalo
1997,spotlight,crime,tom mccarthy, michael keaton,crime tom mccarthy  michael keaton
1998,spotlight,crime,tom mccarthy, rachel mcadams,crime tom mccarthy  rachel mcadams
1999,spotlight,crime,tom mccarthy, liev schreiber,crime tom mccarthy  liev schreiber
2000,spotlight,drama,tom mccarthy,mark ruffalo,drama tom mccarthy mark ruffalo
2001,spotlight,drama,tom mccarthy, michael keaton,drama tom mccarthy  michael keaton
2002,spotlight,drama,tom mccarthy, rachel mcadams,drama tom mccarthy  rachel mcadams
2003,spotlight,drama,tom mccarthy, liev schreiber,drama tom mccarthy  liev schreiber
2004,spotlight,history,tom mccarthy,mark ruffalo,history tom mccarthy mark ruffalo
2005,spotlight,history,tom mccarthy, michael keaton,history tom mccarthy  michael keaton
2006,spotlight,history,tom mccarthy, rachel mcadams,history tom mccarthy  rachel mcadams
2007,spotlight,history,tom mccarthy, liev schreiber,history tom mccarthy  liev schreiber
2008,morgan,horror,luke scott,kate mara,horror luke scott kate mara
